name,city,address,customer_name,contact_person,contact_phone,service_window,route_note,vendsoft_location_id,active
"GMW měřící technika, s. r. o.",Blansko,Hybešova 584/53,"GMW měřící technika, s. r. o.",Bc. Lucie Sladká,+420 516 410 740,,"Zdrojové kódy: 90
Zdrojové názvy: GMW-měřící technika, s. r. o.
Trasy: LD_středa_2TX7829
Operátor: Markéta Jakšová
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
OLMIKA s.r.o.,Blučina,Blučina 627,OLMIKA s.r.o.,Michal Punčochář,+420 774 954 766,,"Zdrojové kódy: SÍDLO
Zdrojové názvy: OLMIKA s.r.o.",,True
TEXTILOMANIE,Blučina,Blučina 627,TEXTILOMANIE,Martin Kramoliš,+420 777 173 911,"MO,WE 7","Zdrojové kódy: 62
Zdrojové názvy: Blučina_TEXTILOMANIE
Trasy: LD_pátek_2TX7829,MN_pondělí_3BJ1780,LD_středa_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE 7
Kategorie servisu: C
Sektor: veřejné místo
Počet automatů ve zdroji: 2",,True
Střední škola hl. budova,Bohumín,Husova 283,Střední škola hl. budova,Ing. Martina Pešatová,+420 731 134 088,TH 7,"Zdrojové kódy: 70
Zdrojové názvy: Bohumín_Střední škola - hl. budova
Trasy: MN_pátek_3BJ1780
Operátor: Michaela Nerudová
Servisní dny: TH 7
Sektor: škola
Počet automatů ve zdroji: 1",,True
Střední škola vedl.budova,Bohumín,Čáslavská 420,Střední škola vedl.budova,Ing. Martina Pešatová,+420 731 134 088,TH 7,"Zdrojové kódy: 71
Zdrojové názvy: Bohumín_Střední škola - vedl.budova
Trasy: MN_pátek_3BJ1780
Operátor: Michaela Nerudová
Servisní dny: TH 7
Sektor: škola
Počet automatů ve zdroji: 1",,True
BVK Pisárky,Brno,Pisárecká 555/1a,BVK Pisárky B jídelna,,,WE 7,"Zdrojové kódy: 5, 6
Zdrojové názvy: Brno_BVK Pisárky B jídelna | Brno_BVK Pisárky hl. budova KÁVA
Trasy: LD_středa_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: WE 7
Kategorie servisu: B | C
Sektor: střední firma
Počet automatů ve zdroji: 2",,True
ESB,Brno,Vídeňská 297/99,ESB,,,7 | WE 7,"Zdrojové kódy: 60, 8
Zdrojové názvy: Brno_ESB KÁVA | Brno_ESB POTRAVINY
Servisní dny: 7 | WE 7",,False
Lasspektrum,Brno,Tovární 850,Lasspektrum,,,"MO,WE 7 | TU 7","Zdrojové kódy: 1, 57
Zdrojové názvy: Brno_Lasspektrum KÁVA | Brno_Lasspektrum POTRAVINY
Trasy: LD_pondělí_2TX7928 | LD_středa_2TX7829,LD_pondělí_2TX7928,LD_pátek_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE 7 | TU 7
Kategorie servisu: B | C
Sektor: malá firma
Počet automatů ve zdroji: 2",,True
Marius Pedersen a.s.,Brno,Hájecká 1162/3,Marius Pedersen a.s.,Ing. Eliška Hrnčířová,+420 730 809 966,MO 7,"Zdrojové kódy: 84
Zdrojové názvy: Marius Pedersen a.s. KÁVA
Trasy: LD_pondělí_2TX7928
Servisní dny: MO 7
Počet automatů ve zdroji: 1",,True
OLTEC a.s.,Brno,Václavská 6,OLTEC a.s.,Dočkalová,+420 605 229 907,TH 7,"Zdrojové kódy: 92
Zdrojové názvy: OLTEC a.s.
Operátor: Markéta Jakšová
Servisní dny: TH 7
Kategorie servisu: A
Sektor: veřejné místo",,True
WINE LIFE a.s.,Brno,Železná 689/7b,WINE LIFE a.s.,,702 188 590,TU 7,"Zdrojové kódy: 87
Zdrojové názvy: WINE LIFE a.s. KÁVA
Trasy: LD_pátek_2TX7829,LD_středa_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TU 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
Zimní stadion,Brno,Úvoz 1012,Zimní stadion,Čermák Jan,+420 603 440 568,"MO,WE,FR 7","Zdrojové kódy: 72
Zdrojové názvy: Brno_Zimní stadion
Trasy: MP_čtvrtek_5AP9000_NEW,LD_středa_2TX7829,LD_pátek_2TX7829,LD_pondělí_2TX7928
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE,FR 7
Kategorie servisu: A
Sektor: veřejné místo
Počet automatů ve zdroji: 1",,True
NTS,Brno - Slatina,Tuřanka 1313,NTS,,,"MO,WE,FR 7","Zdrojové kódy: 3
Zdrojové názvy: Brno_NTS
Trasy: LD_středa_2TX7829,LD_pondělí_2TX7928,LD_pátek_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: MO,WE,FR 7
Kategorie servisu: A
Sektor: střední firma
Počet automatů ve zdroji: 1",,True
Marius Pedersen a.s.,Brno - Černovice,Hájecká 1162/3,Marius Pedersen a.s.,Ing. Eliška Hrnčířová,+420 730 809 966,,"Zdrojové kódy: 82
Zdrojové názvy: Marius Pedersen a.s. POTRAVINY
Trasy: LD_středa_2TX7829,LD_pondělí_2TX7928,LD_pátek_2TX7829
Operátor: Markéta Jakšová, od 1.9.2025
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
BVK Hády,Brno-Maloměřice a Obřany,Hády 971,BVK Hády,,,7,"Zdrojové kódy: 4
Zdrojové názvy: Brno_BVK Hády
Trasy: MP_čtvrtek_5AP9000_NEW,LD_pondělí_2TX7928
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: 7
Kategorie servisu: A
Sektor: střední firma
Počet automatů ve zdroji: 1",,True
OSRAM Česká republika s.r.o.,Bruntál,Zahradní 1442/46,OSRAM Česká republika s.r.o.,Václav Šípek,602 562 117,"MO 7 | MO,WE,FR 7","Zdrojové kódy: 80, 81
Zdrojové názvy: OSRAM Česká republika s.r.o. KÁVA | OSRAM Česká republika s.r.o. POTRAVINY
Trasy: MN_středa_3BJ1780
Servisní dny: MO 7 | MO,WE,FR 7
Počet automatů ve zdroji: 5",,True
AVE,Břeclav,Sovadinova 841,AVE,,,TU 7,"Zdrojové kódy: 12
Zdrojové názvy: Břeclav_AVE
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: TU 7
Počet automatů ve zdroji: 1",,True
Domov seniorů,Břeclav,Na Pešině 2842/13,Domov seniorů hl.budova,,,"MO,WE,FR 7 | TU 7","Zdrojové kódy: 11, 56
Zdrojové názvy: Břeclav_Domov seniorů hl. budova POTRAVINY | Břeclav_Domov seniorů hl.budova KÁVA
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: MO,WE,FR 7 | TU 7
Počet automatů ve zdroji: 3",,True
Domov seniorů vedlejší budova,Břeclav,Seniorů 1,Domov seniorů vedlejší budova,,,TU 7,"Zdrojové kódy: 10
Zdrojové názvy: Břeclav_Domov seniorů vedlejší budova
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: TU 7
Počet automatů ve zdroji: 1",,True
SŠ Zdravotnická,Břeclav,Slovácká 322/1a,SŠ Zdravotnická,,,TU 7,"Zdrojové kódy: 13
Zdrojové názvy: Břeclav_SŠ Zdravotnická
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: TU 7
Počet automatů ve zdroji: 1",,True
ČD Cargo Břeclav,Břeclav,Železniční 3,ČD Cargo Břeclav,"Ing. Krška Jan, Marek Šustáček","602 439 571,724 076 565",TU 168,"Zdrojové kódy: 45
Zdrojové názvy: ČD Cargo Břeclav
Servisní dny: TU 168",,True
COOP,Chvalovice,Chvalovice 35,COOP,,,TH 14,"Zdrojové kódy: 36
Zdrojové názvy: Chvalovice_COOP
Servisní dny: TH 14",,False
"RIGUM, s.r.o.",Dubňany,Jarohněvice 1666,"RIGUM, s.r.o.",Martin Bartošík,+420733533561,"MO,TH 7","Zdrojové kódy: 93
Zdrojové názvy: RIGUM, s.r.o.
Trasy: MP_pondělí_5AP9000_NEW
Operátor: Michal Punčochář
Servisní dny: MO,TH 7
Kategorie servisu: A
Sektor: střední firma
Počet automatů ve zdroji: 1",,True
Monita,Havlíčkův Brod,Průmyslová 1032,Monita,Zuzana Běhunčíková,+420 739 049 179,TH 7,"Zdrojové kódy: 31
Zdrojové názvy: Havlíčkův Brod_Monita
Servisní dny: TH 7",,False
ČD Cargo Havlíčkův Brod,Havlíčkův Brod,Havířská 724,ČD Cargo Havlíčkův Brod,"Adamcová Eva, Marek Šustáček","725 542 673, 724 076 565",TU 168,"Zdrojové kódy: 44
Zdrojové názvy: ČD Cargo Havlíčkův Brod
Servisní dny: TU 168",,True
COOP,Hevlín,Hevlín 59,COOP,,,TH 14,"Zdrojové kódy: 35
Zdrojové názvy: Hevlín_COOP
Servisní dny: TH 14",,False
bazén,Hrušovany nad Jevišovkou,Nádražní 438,bazén,,,TH 14,"Zdrojové kódy: 34
Zdrojové názvy: Hrušovany nad Jevišovkou_bazén
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: TH 14
Počet automatů ve zdroji: 1",,True
Domov seniorů,Hustopeče u Brna,Hybešova 1497/7,Domov seniorů,,,TU 7,"Zdrojové kódy: 9
Zdrojové názvy: Hustopeče_Domov seniorů
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: TU 7
Počet automatů ve zdroji: 1",,True
SWR,Jamné,Jamné 48,SWR,Miroslav Eliáš,725 969 544,TH 7,"Zdrojové kódy: 24
Zdrojové názvy: Jamné_SWR
Trasy: MP_čtvrtek_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TH 7
Kategorie servisu: A
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
Finanční úřad,Jihlava,Tolstého 1455,Finanční úřad,,,TH 7,"Zdrojové kódy: 27
Zdrojové názvy: Jihlava_Finanční úřad
Servisní dny: TH 7",,False
Okresní soud,Jihlava,Tř. Legionářů 1470,Okresní soud,,,TH 7,"Zdrojové kódy: 28
Zdrojové názvy: Jihlava_Okresní soud
Servisní dny: TH 7",,False
Sonepar,Jihlava,Heroltická 5449/19,Sonepar,Patrik Volf,777 567 806,TH 7,"Zdrojové kódy: 43
Zdrojové názvy: Jihlava_Sonepar
Trasy: MP_čtvrtek_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TH 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
VO Vrtal,Jihlava,Znojemská 5433,VO Vrtal,,,TH 7,"Zdrojové kódy: 26
Zdrojové názvy: Jihlava_VO Vrtal
Trasy: MP_čtvrtek_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TH 7
Kategorie servisu: B
Sektor: malá firma
Počet automatů ve zdroji: 1",,True
VOŠ,Jihlava,Srázná 21,VOŠ,Mgr. Marcela Křivánková,724 162 933,TH 7,"Zdrojové kódy: 29
Zdrojové názvy: Jihlava_VOŠ
Trasy: MP_čtvrtek_5AP9000_NEW
Operátor: Markéta Jakšová, od 1.9.2025
Servisní dny: TH 7
Kategorie servisu: B
Sektor: školy, úřady
Počet automatů ve zdroji: 2",,True
Úřad práce,Jihlava,Brtnická 2531,Úřad práce,,,TH 7,"Zdrojové kódy: 25
Zdrojové názvy: Jihlava_Úřad práce
Servisní dny: TH 7",,False
SPEED,Kyjov,Svatoborská 427/89,SPEED,,+420 734 221 795,FR 14,"Zdrojové kódy: 39
Zdrojové názvy: Kyjov_SPEED
Trasy: MP_pondělí_5AP9000_NEW
Servisní dny: FR 14
Počet automatů ve zdroji: 2",,True
Primasil,Mikulov,Gagarinova 1239,Primasil,,,"MO,TU,WE,TH,FR 7","Zdrojové kódy: 54
Zdrojové názvy: Mikulov_Primasil POTRAVINY
Servisní dny: MO,TU,WE,TH,FR 7",,False
Zámek SEZÓNKA,Mikulov,Zámek 1/4,Zámek SEZÓNKA,Martina Klimešová,774163855,"MO,FR 7","Zdrojové kódy: 49
Zdrojové názvy: Mikulov_Zámek SEZÓNKA
Servisní dny: MO,FR 7",,False
