source_location_name,normalized_source_location_name,olvend_location_name,olvend_city,olvend_address,mapping_source,needs_manual_review
Blučina_TEXTILOMANIE,blučina_textilomanie,TEXTILOMANIE,Blučina,Blučina 627,historical_locations_import,false
Bohumín_Střední škola - hl. budova,bohumín_střední škola - hl. budova,Střední škola hl. budova,Bohumín,Husova 283,historical_locations_import,false
Bohumín_Střední škola - vedl.budova,bohumín_střední škola - vedl.budova,Střední škola vedl.budova,Bohumín,Čáslavská 420,historical_locations_import,false
Brno_BVK Hády,brno_bvk hády,BVK Hády,Brno-Maloměřice a Obřany,Hády 971,historical_locations_import,false
Brno_BVK Pisárky B jídelna,brno_bvk pisárky b jídelna,BVK Pisárky,Brno,Pisárecká 555/1a,historical_locations_import,false
Brno_BVK Pisárky hl. budova KÁVA,brno_bvk pisárky hl. budova,BVK Pisárky,Brno,Pisárecká 555/1a,historical_locations_import,false
Brno_BVK ČOV Modřice,brno_bvk čov modřice,BVK ČOV Modřice,Modřice,Svratecká 989,historical_locations_import,false
Brno_Lasspektrum KÁVA,brno_lasspektrum,Lasspektrum,Brno,Tovární 850,historical_locations_import,false
Brno_Lasspektrum POTRAVINY,brno_lasspektrum,Lasspektrum,Brno,Tovární 850,historical_locations_import,false
Brno_NTS,brno_nts,NTS,Brno - Slatina,Tuřanka 1313,historical_locations_import,false
Brno_ViaPharma KÁVA,brno_viapharma,ViaPharma,Podolí u Brna,,historical_locations_import,false
Brno_ViaPharma POTRAVINY,brno_viapharma,ViaPharma,Podolí u Brna,,historical_locations_import,false
Brno_Zimní stadion,brno_zimní stadion,Zimní stadion,Brno,Úvoz 1012,historical_locations_import,false
Břeclav_AVE,břeclav_ave,AVE,Břeclav,Sovadinova 841,historical_locations_import,false
Břeclav_Domov seniorů hl. budova POTRAVINY,břeclav_domov seniorů hl. budova,Domov seniorů,Břeclav,Na Pešině 2842/13,historical_locations_import,false
Břeclav_Domov seniorů hl.budova KÁVA,břeclav_domov seniorů hl.budova,Domov seniorů,Břeclav,Na Pešině 2842/13,historical_locations_import,false
Břeclav_Domov seniorů vedlejší budova,břeclav_domov seniorů vedlejší budova,Domov seniorů vedlejší budova,Břeclav,Seniorů 1,historical_locations_import,false
