external_code,name,sku,ean,source_type,source_section,product_category,usage_type,base_unit,sale_price,warehouse_qty,vehicle_qty,machine_qty,total_qty,supplier_name,status
26,3Bit tyčinka různé druhy,26,7622210416407,Cukrovinky,J 3-3,snack_ready,direct_sale,ks,28.0,84.0,76.0,207.0,367.0,"JIP východočeská, a.s.",Active
42,7days Croissant lískový oříšek 60g,42,7622201390648,Cukrovinky,I 1-2,snack_ready,direct_sale,ks,18.0,30.0,92.0,95.0,217.0,"JIP východočeská, a.s.",Active
196,"Aiello Crema 0,25 kg",196,,Zrnková káva,,ingredient,recipe_consumption,g,198.0,12.0,0.0,0.0,12.0,Caffé Aiello S.r.l.,Active
195,"Aiello Home Espresso 0,5 kg",195,,Zrnková káva,,ingredient,recipe_consumption,g,405.0,9.0,0.0,-2.0,7.0,Caffé Aiello S.r.l.,Active
192,Aiello Ricetta Blue 1 kg,192,,Zrnková káva,,ingredient,recipe_consumption,g,804.0,36.0,0.0,0.0,36.0,Caffé Aiello S.r.l.,Active
191,Aiello Ricetta Orange 1 kg,191,,Zrnková káva,,ingredient,recipe_consumption,g,804.0,34.0,0.0,0.0,34.0,Caffé Aiello S.r.l.,Active
193,Aiello Ricetta Silver 1 kg,193,,Zrnková káva,,ingredient,recipe_consumption,g,776.0,35.0,0.0,0.0,35.0,Caffé Aiello S.r.l.,Active
66,"Aiello Strong 1 kg, zrnková",66,,Zrnková káva,,ingredient,recipe_consumption,g,790.0,24.0,0.0,373.0,397.0,Caffé Aiello S.r.l.,Active
194,Aiello Sublime 1 kg,194,,Zrnková káva,,ingredient,recipe_consumption,g,804.0,36.0,0.0,0.0,36.0,Caffé Aiello S.r.l.,Active
208,Alaska kukuřičné trubičky plněné krémem 18g různé druhy,208,8588005524056,Cukrovinky,,snack_ready,direct_sale,ks,8.0,48.0,188.0,199.0,435.0,"JIP východočeská, a.s.",Active
79,ATM - Belgická bageta,79,,Bageta,,food_ready,direct_sale,ks,,281.0,9.0,1.0,291.0,"Crocodille ČR, spol. s.r.o",Active
16,ATM - Chlebíčkový Labužník,16,,Bageta,,food_ready,direct_sale,ks,51.0,29.0,-17.0,-1.0,11.0,"Crocodille ČR, spol. s.r.o",Active
15,ATM - Golf,15,,Bageta,,food_ready,direct_sale,ks,50.0,39.0,-17.0,1.0,23.0,"Crocodille ČR, spol. s.r.o",Active
17,ATM - Kuřecí stripsy,17,,Bageta,,food_ready,direct_sale,ks,56.0,142.0,10.0,0.0,152.0,"Crocodille ČR, spol. s.r.o",Active
81,ATM - Masové koule,81,,Bageta,,food_ready,direct_sale,ks,,185.0,-14.0,2.0,173.0,"Crocodille ČR, spol. s.r.o",Active
18,ATM - Sýrový Mlsoun,18,,Bageta,,food_ready,direct_sale,ks,52.0,0.0,-1.0,0.0,-1.0,"Crocodille ČR, spol. s.r.o",Active
155,ATM Debrecínská bageta,155,,Bageta,,food_ready,direct_sale,ks,55.0,61.0,-17.0,0.0,44.0,"Crocodille ČR, spol. s.r.o",Active
154,ATM Trhané Vepřové,154,,Bageta,,food_ready,direct_sale,ks,55.0,0.0,0.0,0.0,0.0,"Crocodille ČR, spol. s.r.o",Active
33,Attack Oplatka lískooříšková 30g,33,18584004024105,Cukrovinky,I 2-4,snack_ready,direct_sale,ks,11.0,48.0,112.0,244.0,404.0,"JIP východočeská, a.s.",Active
207,"Bad Brambacher 0,5l různé druhy",207,,Vody,M,beverage_ready,direct_sale,ks,28.0,198.0,30.0,139.0,367.0,Bohemia water s.r.o.,Active
202,Barbera 1870 1 kg,202,,Zrnková káva,,ingredient,recipe_consumption,g,555.0,0.0,0.0,0.0,0.0,,Active
205,Barbera Aromagic kapsle 25 ks,205,,Zrnková káva,,ingredient,recipe_consumption,g,199.0,0.0,0.0,0.0,0.0,,Active
204,Barbera Classica 1 kg,204,,Zrnková káva,,ingredient,recipe_consumption,g,775.0,0.0,0.0,0.0,0.0,,Active
203,Barbera Hesperia 1 kg,203,,Zrnková káva,,ingredient,recipe_consumption,g,641.0,0.0,0.0,0.0,0.0,,Active
206,Barbera Intensa 50 ks,206,,Zrnková káva,,ingredient,recipe_consumption,g,441.0,0.0,0.0,0.0,0.0,,Active
201,Barbera Tris 1 kg,201,,Zrnková káva,,ingredient,recipe_consumption,g,501.0,-79.0,0.0,0.0,-79.0,,Active
2,Big Shock! Energetický nápoj Exotic 500ml plech,2,8594033172497,Vody,K 5,beverage_ready,direct_sale,ks,34.0,42.0,45.0,127.0,214.0,"JIP východočeská, a.s.",Active
137,"Báječné České Polotučné trvanlivé mléko 1,5% 1l",137,8593803224398,Cukrovinky,"I 5, J 5",snack_ready,direct_sale,ks,,249.0,552.0,0.0,801.0,"JIP východočeská, a.s.",Active
217,Bílá krémová 180 ml NEW,217,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
218,Bílá krémová 300 ml NEW,218,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
215,Bílá káva 180 ml NEW,215,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-15.0,-15.0,,Active
216,Bílá káva 300 ml NEW,216,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
219,Cafe+Co 180 ml NEW,219,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
220,Cafe+Co 300 ml NEW,220,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
221,CAPPUCCINO (E) 180 ml NEW,221,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-203.0,-203.0,,Active
222,Cappuccino 180 ml I NEW,222,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-115.0,-115.0,,Active
223,Cappuccino 300 ml NEW,223,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
41,Capri-Sun Multivitamin ovocný nápoj 200ml,41,4000177407523,Vody,K 3-1,beverage_ready,direct_sale,ks,13.0,50.0,33.0,113.0,196.0,"JIP východočeská, a.s.",Active
261,Corny Big Tyčinka banány v mléčné čokoládě 50g,261,4011800548506,Cukrovinky,,snack_ready,direct_sale,ks,,24.0,0.0,0.0,24.0,"JIP východočeská, a.s.",Active
50,Creamio Slaný karamel PREMIUM 1 kg,50,,Ingredient,B,ingredient,recipe_consumption,g,,21.0,0.0,2.0,23.0,Provendia s.r.o.,Active
52,"Creamio Topping 0,7 kg",52,,Ingredient,B,ingredient,recipe_consumption,g,,47.0,2.0,12.0,61.0,Provendia s.r.o.,Active
43,"Cukr Vending 1,5 kg",43,,Ingredient,C,ingredient,recipe_consumption,g,,203.0,28.0,487.0,718.0,Provendia s.r.o.,Active
176,CÁBŮ Jihočeská bez majonézy 150g,176,,Bageta,,food_ready,direct_sale,ks,46.0,-27.0,2.0,36.0,11.0,Lahůdky u Cábů s.r.o.,Active
172,CÁBŮ Královská bageta 160g,172,,Bageta,,food_ready,direct_sale,ks,,-25.0,-4.0,36.0,7.0,Lahůdky u Cábů s.r.o.,Active
179,CÁBŮ Mexický nářez 180g,179,,Bageta,,food_ready,direct_sale,ks,,-42.0,-3.0,39.0,-6.0,Lahůdky u Cábů s.r.o.,Active
185,CÁBŮ Poctivé kuřátko 230g,185,,Bageta,,food_ready,direct_sale,ks,,-94.0,-1.0,51.0,-44.0,Lahůdky u Cábů s.r.o.,Active
186,CÁBŮ Sýrová pochoutka 140g,186,,Bageta,,food_ready,direct_sale,ks,,-70.0,4.0,66.0,0.0,Lahůdky u Cábů s.r.o.,Active
177,CÁBŮ Školní bagetka šunková 110g,177,,Bageta,,food_ready,direct_sale,ks,,-50.0,5.0,70.0,25.0,Lahůdky u Cábů s.r.o.,Active
210,Doritos Tortillas Chipsy nachos cheese 44g,210,5900259138293,Cukrovinky,,snack_ready,direct_sale,ks,,60.0,53.0,111.0,224.0,"JIP východočeská, a.s.",Active
254,Dr.Ensa Kukuřice pražená solená s příchutí barbecue 60g,254,8586018180863,Cukrovinky,,snack_ready,direct_sale,ks,,40.0,27.0,95.0,162.0,"JIP východočeská, a.s.",Active
200,"DrWitt min. voda 0,55l různé druhy",200,,Vody,K 4,beverage_ready,direct_sale,ks,29.0,72.0,27.0,106.0,205.0,"JIP východočeská, a.s.",Active
20,Dupetky Snack pečený hořčice+med+cibulka 70g,20,5949040204427,Cukrovinky,J 1-1,snack_ready,direct_sale,ks,26.0,42.0,63.0,71.0,176.0,"JIP východočeská, a.s.",Active
37,Ensa Arašídy loupané pražené solené 100g,37,8586012827450,Cukrovinky,J 1-4,snack_ready,direct_sale,ks,16.0,20.0,50.0,69.0,139.0,"JIP východočeská, a.s.",Active
225,Espresso Bílé NEW,225,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-52.0,-52.0,,Active
226,Espresso Lungo 180 ml NEW,226,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-97.0,-97.0,,Active
227,Espresso Lungo bílé 180 ml NEW,227,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-431.0,-431.0,,Active
256,Espresso Macchiatto,256,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,0.0,0.0,,Active
224,Espresso NEW,224,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-47.0,-47.0,,Active
228,ESPRESSO S KAKAOVÝM NÁPOJEM NEW,228,,Teplé nápoje,,beverage_ready,direct_sale,ks,,0.0,0.0,-2.0,-2.0,,Active
13,Hanácká Kyselka Minerální voda citron jemně perlivá 500ml PET,13,8594004583130,Vody,N,beverage_ready,direct_sale,ks,18.0,61.0,65.0,41.0,167.0,"JIP východočeská, a.s.",Active
39,Haribo Bonbóny goldbären želé medvídci 100g,39,9002975301558,Cukrovinky,I 3-3,snack_ready,direct_sale,ks,26.0,30.0,74.0,145.0,249.0,"JIP východočeská, a.s.",Active
38,Havlík Tyčinky originál 90g,38,8594012320123,Cukrovinky,I 3-1,snack_ready,direct_sale,ks,18.0,60.0,97.0,121.0,278.0,"JIP východočeská, a.s.",Active
4,Hell Energetický nápoj classic 250ml plech,4,5999884034414,Vody,I 4,beverage_ready,direct_sale,ks,30.0,24.0,86.0,138.0,248.0,"JIP východočeská, a.s.",Active
259,Hello Perlivé malinový perlivý nápoj 330ml plech,259,,Vody,,beverage_ready,direct_sale,ks,,12.0,0.0,0.0,12.0,"JIP východočeská, a.s.",Active
